Event Name,Type,Date (mm/dd/yyyy),Start Time,End Time,Room / Table Location,Team Number,Team Name
Test Event,Official Match 1,,9:16 AM,9:23 AM,Table 1A,3640,Turbo Force
Test Event,Official Match 2,,10:12 AM,10:19 AM,Table 1B,3640,Turbo Force
Test Event,Official Match 3,,11:24 AM,11:31 AM,Table 2B,3640,Turbo Force
Test Event,Official Match 1,,9:32 AM,9:39 AM,Table 2B,9401,Midnight Circuit Breaker Alliance
Test Event,Official Match 2,,10:20 AM,10:27 AM,Table 2A,9401,Midnight Circuit Breaker Alliance
Test Event,Official Match 3,,11:00 AM,11:07 AM,Table 2B,9401,Midnight Circuit Breaker Alliance
Test Event,Official Match 1,,9:24 AM,9:31 AM,Table 2A,904,Mighty Wolves
Test Event,Official Match 2,,10:28 AM,10:35 AM,Table 2A,904,Mighty Wolves
Test Event,Official Match 3,,10:52 AM,10:59 AM,Table 2A,904,Mighty Wolves
Test Event,Official Match 1,,9:16 AM,9:23 AM,Table 2A,41473,Fusion Wolves
Test Event,Official Match 2,,10:04 AM,10:11 AM,Table 1A,41473,Fusion Wolves
Test Event,Official Match 3,,11:08 AM,11:15 AM,Table 2A,41473,Fusion Wolves
Test Event,Official Match 1,,9:00 AM,9:07 AM,Table 2B,5544,Mighty Falcons
Test Event,Official Match 2,,10:44 AM,10:51 AM,Table 1B,5544,Mighty Falcons
Test Event,Official Match 3,,10:52 AM,10:59 AM,Table 1A,5544,Mighty Falcons
Test Event,Official Match 1,,9:08 AM,9:15 AM,Table 1A,393,Electric Bots
Test Event,Official Match 2,,10:12 AM,10:19 AM,Table 2A,393,Electric Bots
Test Event,Official Match 3,,11:32 AM,11:39 AM,Table 2B,393,Electric Bots
Test Event,Official Match 1,,9:08 AM,9:15 AM,Table 2B,7977,Silent Gearheads
Test Event,Official Match 2,,9:56 AM,10:03 AM,Table 1A,7977,Silent Gearheads
Test Event,Official Match 3,,11:08 AM,11:15 AM,Table 2B,7977,Silent Gearheads
Test Event,Official Match 1,,9:40 AM,9:47 AM,Table 1A,68003,Neon Gearheads
Test Event,Official Match 2,,10:44 AM,10:51 AM,Table 2B,68003,Neon Gearheads
Test Event,Official Match 3,,11:08 AM,11:15 AM,Table 1B,68003,Neon Gearheads
Test Event,Official Match 1,,9:40 AM,9:47 AM,Table 2B,28201,Steel Rangers
